127.0.0.1 - - [08/Dec/2019:17:02:52 +0000] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Dec/2019:17:02:54 +0000] "GET /dvd_web_app/GetDvdServlet HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [08/Dec/2019:17:03:23 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [08/Dec/2019:17:26:37 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [08/Dec/2019:17:27:08 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [08/Dec/2019:17:28:29 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [08/Dec/2019:17:29:12 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [08/Dec/2019:17:29:28 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [08/Dec/2019:17:30:35 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [08/Dec/2019:17:31:00 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [08/Dec/2019:19:07:44 +0000] "POST /dvd_web_app/APIServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2019:19:07:51 +0000] "GET /dvd_web_app/GetDvdServlet HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Dec/2019:19:08:08 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [08/Dec/2019:20:18:46 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [08/Dec/2019:20:18:49 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [08/Dec/2019:20:19:06 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [08/Dec/2019:20:19:09 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [08/Dec/2019:20:32:14 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [08/Dec/2019:20:46:00 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [08/Dec/2019:20:46:10 +0000] "DELETE /dvd_web_app/APIServlet?apikey=abc123&id=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2019:20:46:12 +0000] "GET /dvd_web_app/APIServlet?apikey=abc123 HTTP/1.1" 200 253
